similarity,75400000
%22profit+and+warning%22,421000
dollar,687000000
focus,1400000000
month,3010000000
%22telephone+and+communication%22,448000
mile,458000000
computation,67400000
skin,2520000000
%22planet+and+moon%22,419000
children,2590000000
%22opera+and+industry%22,5
row,1300000000
%22lad+and+wizard%22,974000
wizard,193000000
disability,214000000
%22school+and+center%22,3930000
%22reason+and+criterion%22,5
%22FBI+and+fingerprint%22,24500
environment,1560000000
%22money+and+possession%22,370000
%22delay+and+news%22,482000
terror,306000000
smile,2460000000
%22boy+and+lad%22,95300
string,731000000
%22football+and+tennis%22,383000
Maradona,26700000
%22travel+and+activity%22,440000
liability,249000000
personnel,411000000
%22architecture+and+century%22,994000
%22size+and+prominence%22,120000
ticket,642000000
school,5200000000
%22jaguar+and+cat%22,56200
gender,1840000000
brother,972000000
%22doctor+and+nurse%22,460000
%22month+and+hotel%22,361000
car,5030000000
mammal,389000000
%22stock+and+egg%22,371000
round,1630000000
manslaughter,12900000
carnivore,292000000
%22hospital+and+infrastructure%22,477000
sign,7820000000
%22vodka+and+brandy%22,126000
%22food+and+rooster%22,8
street,3960000000
video,13200000000
%22deployment+and+withdrawal%22,82600
lawyer,291000000
%22seafood+and+sea%22,389000
%22music+and+project%22,572000
depression,340000000
index,4790000000
sun,2530000000
%22book+and+paper%22,544000
cell,1260000000
%22listing+and+category%22,44700
%22drink+and+mother%22,3770000
nurse,487000000
%22tiger+and+tiger%22,451000
bird,1050000000
%22president+and+medal%22,197000
%22planet+and+star%22,381000
%22planet+and+galaxy%22,137000
%22psychology+and+clinic%22,7
%22secretary+and+senate%22,232000
water,4260000000
%22theater+and+history%22,511000
baseball,564000000
%22coast+and+forest%22,361000
%22bread+and+butter%22,17300000
%22treatment+and+recovery%22,17300000
boy,2440000000
substance,250000000
%22king+and+rook%22,54500
%22government+and+crisis%22,418000
%22line+and+insurance%22,447000
%22Japanese+and+American%22,539000
experience,3140000000
credit,2010000000
airport,829000000
defeat,188000000
popcorn,141000000
implement,414000000
quarrel,18000000
maker,606000000
%22shower+and+flood%22,256000
love,7830000000
family,5440000000
%22rooster+and+voyage%22,9
%22movie+and+star%22,994000
%22stock+and+live%22,495000
%22Wednesday+and+news%22,1290000
%22law+and+lawyer%22,388000
crisis,449000000
market,2650000000
%22dollar+and+yen%22,148000
confidence,538000000
eye,2040000000
wealth,334000000
%22smart+and+stupid%22,386000
%22luxury+and+car%22,571000
hospital,1310000000
impartiality,6130000
%22decoration+and+valor%22,588000
%22competition+and+price%22,562000
%22doctor+and+liability%22,7
live,5880000000
music,6390000000
type,6570000000
%22physics+and+chemistry%22,12000000
midday,32200000
possession,231000000
%22exhibit+and+memorabilia%22,60100
holy,717000000
company,4850000000
benchmark,189000000
Wednesday,1030000000
%22population+and+development%22,42500000
phone,4150000000
American,3720000000
train,1150000000
baby,3600000000
effort,700000000
%22news+and+report%22,648000
%22record+and+number%22,423000
%22mile+and+kilometer%22,233000
rook,28600000
word,2610000000
%22chord+and+smile%22,10
science,2140000000
